train_arc_acc,train_lab_acc
0.609728,0.871593
0.638799,0.874701
0.613373,0.8686
0.635768,0.887923
0.617251,0.875455
0.583039,0.880011
0.615317,0.87854
0.612451,0.88022
0.602101,0.868921
0.622928,0.877484
0.606939,0.851668
0.602967,0.870889
0.610356,0.864666
0.612185,0.862161
0.609055,0.874694
0.608373,0.858745
0.626466,0.870088
0.614807,0.875042
0.611547,0.853151
0.602173,0.889624
0.630813,0.87958
0.674287,0.886933
0.602121,0.874511
0.619579,0.864868
0.61382,0.875428
0.647107,0.889086
0.655349,0.88088
0.635201,0.878007
0.655719,0.881462
0.621556,0.877677
0.624871,0.877563
0.618871,0.868671
0.634215,0.876287
0.624653,0.889804
0.638685,0.876687
0.630357,0.880216
0.621564,0.88347
0.631221,0.893914
0.643701,0.877062
0.658323,0.887592
0.652417,0.883936
0.628661,0.879638
0.652173,0.893454
0.650312,0.883829
0.652632,0.883139
0.635632,0.889426
0.670259,0.883451
0.656303,0.880522
0.633361,0.875669
0.65438,0.874614
0.643134,0.881086
0.640181,0.890113
0.616956,0.87569
0.635054,0.892141
0.650098,0.881476
0.646075,0.875556
0.655704,0.884063
0.668797,0.89996
0.654761,0.88507
0.652464,0.871734
0.677299,0.893444
0.667015,0.888243
0.634023,0.89249
0.659491,0.886528
0.659527,0.885227
0.680239,0.886546
0.660207,0.893113
0.676875,0.883594
0.688535,0.894109
0.670462,0.89149
0.643971,0.886568
0.676472,0.891788
0.649036,0.883907
0.667689,0.887395
0.658291,0.887627
0.670207,0.886822
0.689413,0.882734
0.699846,0.898898
0.673087,0.892822
0.674512,0.878037
0.685772,0.895138
0.685905,0.881615
0.678702,0.89589
0.683607,0.893736
0.669682,0.875556
0.666238,0.88829
0.680088,0.886059
0.684949,0.884936
0.682773,0.888885
0.670126,0.888479
0.677278,0.89293
0.685199,0.889819
0.67665,0.897375
0.677719,0.884659
0.668942,0.894194
0.687059,0.905309
0.674697,0.88988
0.677844,0.893562
0.676484,0.893729
0.678287,0.885365
0.694496,0.8983
0.701559,0.904988
0.719284,0.891542
0.70084,0.894601
0.670833,0.887994
0.666043,0.890384
0.668174,0.888273
0.691088,0.905575
0.663739,0.892665
0.678966,0.888755
0.664865,0.889668
0.699849,0.89636
0.692694,0.900463
0.704699,0.902018
0.689875,0.896155
0.731767,0.900497
0.706511,0.896686
0.694764,0.901028
0.69962,0.903553
0.68858,0.886545
0.68825,0.894365
0.678345,0.876617
0.685979,0.882714
0.688735,0.880052
0.696723,0.896363
0.712852,0.898605
0.677507,0.889136
0.689804,0.884935
0.711558,0.892121
0.72116,0.891204
0.7026,0.900608
0.679525,0.892943
0.702945,0.888819
0.701877,0.89848
0.698597,0.907834
0.704601,0.891208
0.70505,0.899278
0.700749,0.895158
0.690229,0.902647
0.718881,0.887873
0.726524,0.903391
0.683298,0.897214
0.726835,0.896957
0.730228,0.89825
0.728125,0.903588
0.688929,0.895325
0.703792,0.892882
0.683217,0.898374
0.703777,0.901118
0.692077,0.894338
0.712588,0.878661
0.673237,0.897061
0.67881,0.891883
0.68018,0.907551
0.713526,0.898808
0.699614,0.902051
0.709768,0.909381
0.729759,0.907
0.705514,0.893029
0.713247,0.909663
0.706994,0.904731
0.7063,0.890243
0.729873,0.912073
0.702926,0.891432
0.70606,0.888319
0.681394,0.893137
0.691337,0.9036
0.687519,0.881411
0.714323,0.896545
0.705608,0.906433
0.704525,0.899987
0.723542,0.891627
0.714249,0.890547
0.719972,0.901172
0.728482,0.911357
0.691323,0.896002
0.726388,0.904525
0.710215,0.889427
0.719526,0.901056
0.70419,0.901122
0.696442,0.900782
